Family,cum_rel_ab,hex,colors
<5% abundance,0,#D3D3D3,lightgrey
 Rickettsiaceae,0.05172413793103448,#9CEA9A,"c(""lightgreen"", ""palegreen2"")"
 uncultured,0.0519774011299435,#9E8F97,"c(""gray59"", ""grey59"")"
 Hyphomonadaceae,0.05397485170100883,#D98879,darksalmon
 Thiomicrospiraceae,0.06050484425594923,#DBBE46,tan2
 Unknown_Family,0.060859425089751416,#A5F03E,olivedrab2
 Cyclobacteriaceae,0.061991285675133484,#D2749B,palevioletred
 Parvularculaceae,0.06262847227660803,#DE9DDE,plum
 Kiloniellaceae,0.0628278369670177,#6EC8E1,skyblue2
 Francisellaceae,0.06571087216248507,#E29244,tan2
 Gimesiaceae,0.06762295081967214,#E6C0AE,peachpuff2
 Methyloligellaceae,0.07933615275873779,#639E96,cadetblue
 Micavibrionaceae,0.08077082012800743,#A9EDC7,darkseagreen2
 Kordiimonadaceae,0.08094193448257582,#CAE792,lemonchiffon3
 OM190,0.08196721311475409,#874B98,orchid4
 Saprospiraceae,0.08240391712510552,#DB3CDF,mediumorchid2
 Colwelliaceae,0.08387557530550706,#5EEE5E,palegreen3
 Stappiaceae,0.08832180837782305,#707534,darkolivegreen4
 Desulfovibrionaceae,0.09018660039450282,#E7BFD7,thistle
 Arcobacteraceae,0.09449704864153023,#E34AA0,violetred2
 Limnotrichaceae,0.09662724084574885,#DE77E0,orchid
 Diplorickettsiaceae,0.09741462602032318,#8A59DA,mediumpurple3
 Phycisphaeraceae,0.09865305465226681,#7881E1,mediumslateblue
 Rhodobacteraceae,0.09928003361472645,#AEE4E3,powderblue
 Desulfolunaceae,0.10019985811124033,#B9E264,darkolivegreen2
 Pla4_lineage,0.10027285129604366,#61E5E0,aquamarine2
 Alteromonadaceae,0.10037025566229428,#5DECC0,aquamarine2
 Acanthopleuribacteraceae,0.10125927857036307,#E8E081,lightgoldenrod
 Amoebophilaceae,0.10302140219504159,#66BA51,palegreen4
 Thalassospiraceae,0.10850612822335035,#C6CEE6,lightsteelblue2
 Magnetospiraceae,0.11754860641092295,#E4E6B7,lemonchiffon2
 Nitrincolaceae,0.1330510973548375,#DCE4DA,"c(""gray87"", ""grey87"")"
 Oleiphilaceae,0.13546126897625535,#B1A7E0,lightsteelblue3
 Vibrionaceae,0.1544090264349602,#5EED92,seagreen2
 Pirellulaceae,0.17123392623896533,#E1EC3E,olivedrab1
 Myxococcaceae,0.19912866080059385,#7C31EB,blueviolet
 Desulfobacteraceae,0.20925991792188595,#74B985,palegreen3
 Endozoicomonadaceae,0.22391495648266807,#E55448,tomato2
 Cellvibrionaceae,0.3192157799675407,#6DA4DF,skyblue3
