genotype,Fragment,Gulf,Location,Reef,Init_Symbiont,ORF,ITS2
29,360-G,Chiriqui,Uva,Coral Collection Point,D,Type_1,D1
29,361-G,Chiriqui,Uva,Coral Collection Point,D,Type_1,D1
30,192-oct,Chiriqui,Uva,Coral Collection Point,C,Type_3,C1d
30,436-oct,Chiriqui,Uva,Coral Collection Point,C,Type_3,C1d
31,447-B,Chiriqui,Uva,Coral Collection Point,D,Type_1,C1bc?
31,450-B,Chiriqui,Uva,Coral Collection Point,D,Type_1,C1bc?
31,454-B,Chiriqui,Uva,Coral Collection Point,D,Type_1,C1bc?
32,340-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,352-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,354-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,356-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,357-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,342-G,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,184-oct,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
32,185-oct,Chiriqui,Uva,Coral Collection Point,C,Type_1,C1bc?
34,458-B,Chiriqui,Uva,Coral Collection Point,D,Type_3,D1
34,467-B,Chiriqui,Uva,Coral Collection Point,D,Type_3,D1
34,474-B,Chiriqui,Uva,Coral Collection Point,D,Type_3,D1
34,476-B,Chiriqui,Uva,Coral Collection Point,D,Type_3,D1
35,452-G,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
35,453-G,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
35,456-G,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
35,459-G,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
35,99-Oc,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
35,457-G,Chiriqui,Uva,Coral Collection Point,CD,Type_1,C1d
37,389-B,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
37,68-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
37,70-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
37,72-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
39,98-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
39,99-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
39,312-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
40,314-G,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
40,317-G,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
40,319-G,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
40,322-G,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
41,307-G,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
41,74-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
41,78-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
41,80-Oc,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
43,37-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
43,38-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
43,41-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
43,362-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
43,366-B,Panama ,Saboga Island,Saboga reef,D,Type_1,D1
44,48-B,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
44,52-B,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
44,56-B,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
44,57-B,Panama ,Saboga Island,Saboga reef,C,Type_3,C1d
78,10-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
78,61-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
78,62-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
78,64-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
78,65-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
78,4-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
79,370-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
79,374-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
79,377-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
79,382-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
79,387-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,316-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,326-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,330-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,331-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,98-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,320-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,323-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
83,324-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
86,59-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
86,68-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
86,71-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
86,73-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
86,77-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
88,343-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
88,346-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
88,350-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
88,357-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
88,336-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
93,26-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
93,29-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
93,87-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
96,425-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
96,428-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
96,432-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
96,437-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
96,438-G,Chiriqui,Uva,Uva reef,D,Type_1,D1
99,88-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
99,94-B,Chiriqui,Uva,Uva reef,D,Type_1,D1
99,40-Oc,Chiriqui,Uva,Uva reef,D,Type_1,D1
