Sample_ID,total_reads,Cladocopium,Durusdinium
PAN-10_Baseline_007,984029,12.54,41.7
PAN-10_Control_061,522052,6.97,43.33
PAN-10_Control_062,1732136,5.8,51.25
PAN-10_Control_064,589611,7.58,47.98
PAN-32_Antibiotics_121,14645798,17.47,60.87
PAN-32_Antibiotics_122,13893376,60.65,9.66
PAN-32_Antibiotics_124,11433634,24.69,57.35
PAN-32_Baseline_009,514635,38.35,8.61
PAN-32_Baseline_011,7203834,31.7,29.84
PAN-32_Baseline_012,1601901,50.79,9.54
PAN-32_Control_066,8901026,34.1,13.26
PAN-32_Control_067,4653490,44.48,12.51
PAN-32_Control_068,4314106,33.99,15.3
PAN-34_Antibiotics_127,11723645,5.16,67.55
PAN-34_Baseline_016,664864,5.32,63.02
PAN-34_Control_071,915280,6.23,65.49
PAN-35_Antibiotics_129,5687511,5.76,67.05
PAN-35_Antibiotics_130,1240342,5.31,64.34
PAN-35_Antibiotics_131,11567979,6.07,66.67
PAN-35_Antibiotics_132,4896512,6.34,64.75
PAN-35_Baseline_017,11839732,5.95,62.51
PAN-35_Baseline_018,3104914,5.26,55.71
PAN-35_Baseline_020,1335340,9.25,66.59
PAN-35_Control_073,11609044,5.65,59.98
PAN-35_Control_074,11339244,5.83,56.01
PAN-35_Control_075,16009061,4.99,66.67
PAN-35_Control_076,11704574,5.56,70.05
PAN-37_Antibiotics_133,4289155,57.54,4.68
PAN-37_Antibiotics_134,5894035,67.63,5.51
PAN-37_Antibiotics_135,569303,56.9,4.29
PAN-37_Antibiotics_136,1544917,69.01,9.67
PAN-37_Baseline_021,868987,68.29,5.53
PAN-37_Baseline_023,1785320,71.83,6.75
PAN-37_Control_078,626097,74.82,6.98
PAN-39_Antibiotics_137,9522530,4.87,55.12
PAN-39_Antibiotics_138,9118783,4.69,46.81
PAN-39_Antibiotics_139,10094298,4.34,43.2
PAN-39_Antibiotics_140,7564255,4.4,55.77
PAN-39_Baseline_025,5745374,4.35,16.36
PAN-39_Baseline_026,1341880,5.73,54.44
PAN-39_Baseline_027,7497305,5.78,57.01
PAN-39_Baseline_028,10604151,5.98,56.6
PAN-39_Control_081,3368191,5.19,58.75
PAN-39_Control_082,3560495,5.83,63.33
PAN-39_Control_083,1590429,5.15,66.32
PAN-39_Control_084,9629903,4.14,60.18
PAN-41_Antibiotics_141,702765,59.05,5
PAN-41_Antibiotics_144,894271,64.13,5.55
PAN-41_Baseline_031,1920346,72.26,5.39
PAN-41_Baseline_032,1828632,59.25,5.79
PAN-43_Antibiotics_145,9086346,5.11,58.49
PAN-43_Antibiotics_146,7042375,5.28,70.57
PAN-43_Antibiotics_147,10817176,5.35,53.02
PAN-43_Antibiotics_148,3510179,5.49,69.66
PAN-43_Baseline_034,2997943,9.26,59.22
PAN-44_Antibiotics_149,1043379,60.06,13.26
PAN-44_Antibiotics_151,570614,50.4,12.6
PAN-44_Antibiotics_152,7567980,68.13,10.81
PAN-44_Baseline_037,1446822,51.2,9.57
PAN-05_Baseline_001,655010,5.35,42.05
PAN-78_Antibiotics_157,10409823,4.52,55.9
PAN-78_Antibiotics_158,10138469,4.64,47.62
PAN-78_Antibiotics_159,13997240,3.72,27.78
PAN-78_Antibiotics_160,6456685,4.28,57.53
PAN-78_Baseline_045,2810323,5.28,28.62
PAN-78_Baseline_046,10065101,5.77,32.92
PAN-78_Baseline_048,15416239,2.53,23.07
PAN-78_Control_101,4548006,4.28,50.71
PAN-78_Control_102,11021245,5,43.48
PAN-78_Control_103,7563034,3.67,41.93
PAN-78_Control_104,11308942,4.57,60.73
PAN-79_Antibiotics_161,8465039,4.23,51.83
PAN-79_Antibiotics_162,10306601,4.41,52.5
PAN-79_Antibiotics_163,10554103,3.78,60.28
PAN-79_Antibiotics_164,8975490,7.56,53.86
PAN-79_Baseline_049,819801,5.25,39.99
PAN-79_Baseline_050,1740971,3.6,48.21
PAN-79_Baseline_051,1161359,4.96,41.33
PAN-79_Baseline_052,1915058,6.39,47.42
PAN-79_Control_105,8293416,3.5,61.23
PAN-79_Control_106,10257145,3.34,77.33
PAN-79_Control_107,11849453,3.78,51.25
PAN-79_Control_108,10190286,5.64,34.1
PAN-83_Antibiotics_165,10191323,3.95,56.83
PAN-83_Antibiotics_166,7313003,5.99,60.08
PAN-83_Antibiotics_167,7188550,5.04,40.79
PAN-83_Antibiotics_168,6662711,3.62,33.71
PAN-83_Baseline_054,2491658,5.52,56.89
PAN-83_Baseline_056,4680074,5.15,73.32
PAN-83_Control_109,11366565,6.12,57.21
PAN-83_Control_110,13199399,5.79,46.03
PAN-83_Control_111,11769704,5.24,56.87
PAN-83_Control_112,11189994,6.45,54.76
URA-51_Antibiotics_153,7721738,3.85,53.44
URA-51_Antibiotics_154,859374,5.31,48.33
URA-51_Antibiotics_155,6346711,3.55,45.92
URA-51_Antibiotics_156,6080284,4.21,45.48
URA-51_Control_097,7725251,5.78,49.82
URA-51_Control_098,5856335,5.12,44.36
URA-51_Control_099,5222020,5.27,49.74
URA-51_Control_100,5208637,6.18,52.45
