Sample_ID,Extraction_date,DNA_conc_ng_uL,DNA_vol_uL,DNA_yield_ng,RNA_conc_ng_uL,RNA_vol_uL,RNA_yield_ng
001,11/2/20,3.63,48,174.24,91.6,48,4396.8
002,11/2/20,4.32,48,207.36,110,48,5280
003,11/2/20,6.14,48,294.72,121,48,5808
004,11/2/20,4.98,48,239.04,106,48,5088
005,11/2/20,5.01,48,240.48,80,48,3840
006,11/2/20,3.38,48,162.24,98.1,48,4708.8
007,11/25/20,22.4,48,1075.2,36.4,48,1747.2
008,11/25/20,11.1,48,532.8,41.8,48,2006.4
009,11/25/20,9.44,48,453.12,23.5,48,1128
010,11/25/20,22.1,48,1060.8,30.2,48,1449.6
011,11/25/20,4.93,48,236.64,29.3,48,1406.4
012,11/25/20,6.27,48,300.96,20.1,48,964.8
013,11/28/20,21.1,48,1012.8,87.9,48,4219.2
014,11/28/20,35.5,48,1704,138,48,6624
015,11/28/20,28.4,48,1363.2,112,48,5376
016,11/28/20,30.8,48,1478.4,124,48,5952
017,11/28/20,29.7,48,1425.6,131,48,6288
018,11/28/20,30,48,1440,106,48,5088
019,11/28/20,20.7,48,993.6,144,48,6912
020,11/28/20,20,48,960,114,48,5472
021,11/28/20,34.2,48,1641.6,160,48,7680
022,11/28/20,27.7,48,1329.6,127,48,6096
023,11/28/20,33.3,48,1598.4,168,48,8064
024,11/28/20,35.8,48,1718.4,154,48,7392
025,11/28/20,27.9,48,1339.2,135,48,6480
026,11/28/20,27,48,1296,119,48,5712
027,11/28/20,31.8,48,1526.4,114,48,5472
028,11/28/20,29,48,1392,93.4,48,4483.2
029,11/28/20,35.5,48,1704,149,48,7152
030,11/28/20,25.9,48,1243.2,109,48,5232
031,11/28/20,41.2,48,1977.6,161,48,7728
032,11/28/20,33.6,48,1612.8,106,48,5088
033,11/28/20,24.1,48,1156.8,83.9,48,4027.2
034,11/28/20,24.1,48,1156.8,109,48,5232
035,11/28/20,24.8,48,1190.4,156,48,7488
036,11/28/20,26.1,48,1252.8,105,48,5040
037,11/29/20,9.5,48,456,,48,
038,11/29/20,8.9,48,427.2,,48,
039,11/29/20,7.41,48,355.68,,48,
040,11/29/20,10.2,48,489.6,,48,
041,11/29/20,10.3,48,494.4,,48,
042,11/29/20,9.44,48,453.12,129,48,6192
043,11/29/20,11.9,48,571.2,87.7,48,4209.6
044,11/29/20,11.1,48,532.8,29.9,48,1435.2
045,11/29/20,4.52,48,216.96,68.9,48,3307.2
