Date;Time;No.;PAR;F1;F2;F3;F4;F5;F6;F7;F8;F9;F10;F11;F12;F13;F14;F15;F16;F17;F18;F19;F20;F21;F22;F23;F24;Fm'1;Fm'2;Fm'3;Fm'4;Fm'5;Fm'6;Fm'7;Fm'8;Fm'9;Fm'10;Fm'11;Fm'12;Fm'13;Fm'14;Fm'15;Fm'16;Fm'17;Fm'18;Fm'19;Fm'20;Fm'21;Fm'22;Fm'23;Fm'24;Y(II)1;Y(II)2;Y(II)3;Y(II)4;Y(II)5;Y(II)6;Y(II)7;Y(II)8;Y(II)9;Y(II)10;Y(II)11;Y(II)12;Y(II)13;Y(II)14;Y(II)15;Y(II)16;Y(II)17;Y(II)18;Y(II)19;Y(II)20;Y(II)21;Y(II)22;Y(II)23;Y(II)24;
02.09.20;11:25:49;1;0;0.1022;0.1276;0.0068;0.0826;0.1026;0.0753;0.0020;0.0811;0.1153;0.0997;0.0024;0.0024;0.0963;0.1364;0.1373;0.1359;0.1207;0.0020;0.0709;0.0821;0.0943;0.0992;0.0689;0.0626;0.1989;0.2224;0.0068;0.2009;0.2698;0.1760;0.0044;0.2239;0.2263;0.2312;0.0039;0.0039;0.1882;0.2458;0.2815;0.2336;0.2439;0.0039;0.1799;0.1970;0.2454;0.2532;0.1921;0.1584;0.486;0.426;0.000;0.589;0.620;0.572;0.000;0.638;0.490;0.569;0.000;0.000;0.488;0.445;0.512;0.418;0.505;0.000;0.606;0.583;0.616;0.608;0.641;0.605;
02.09.20;11:26:52;2;0;0.1041;0.1320;0.0068;0.0826;0.1061;0.0758;0.0024;0.0806;0.1168;0.1012;0.0024;0.0024;0.0987;0.1378;0.1417;0.1388;0.1241;0.0020;0.0704;0.0841;0.0958;0.1022;0.0689;0.0621;0.1950;0.2209;0.0068;0.1984;0.2688;0.1755;0.0049;0.2195;0.2258;0.2331;0.0039;0.0054;0.1877;0.2449;0.2849;0.2326;0.2410;0.0044;0.1706;0.1970;0.2444;0.2522;0.1906;0.1544;0.466;0.403;0.000;0.584;0.605;0.568;0.000;0.633;0.483;0.566;0.000;0.000;0.474;0.437;0.503;0.403;0.485;0.000;0.587;0.573;0.608;0.595;0.638;0.598;
02.09.20;11:27:53;3;0;0.1031;0.1315;0.0073;0.0831;0.1031;0.0753;0.0020;0.0831;0.1178;0.1017;0.0024;0.0029;0.0992;0.1393;0.1427;0.1383;0.1246;0.0020;0.0704;0.0841;0.0963;0.1026;0.0689;0.0621;0.1916;0.2190;0.0078;0.1989;0.2615;0.1740;0.0039;0.2258;0.2234;0.2317;0.0039;0.0049;0.1872;0.2463;0.2835;0.2307;0.2439;0.0054;0.1716;0.1955;0.2424;0.2546;0.1916;0.1549;0.462;0.400;0.000;0.582;0.606;0.567;0.000;0.632;0.473;0.561;0.000;0.000;0.470;0.435;0.497;0.400;0.489;0.000;0.590;0.570;0.603;0.597;0.640;0.599;
02.09.20;11:28:54;4;0;0.1041;0.1325;0.0078;0.0831;0.1046;0.0753;0.0024;0.0846;0.1183;0.1022;0.0029;0.0024;0.0963;0.1393;0.1417;0.1393;0.1261;0.0015;0.0704;0.0841;0.0963;0.1031;0.0704;0.0626;0.1931;0.2180;0.0073;0.1994;0.2644;0.1725;0.0044;0.2273;0.2263;0.2326;0.0039;0.0044;0.1818;0.2454;0.2820;0.2336;0.2449;0.0039;0.1711;0.1979;0.2424;0.2551;0.1921;0.1549;0.461;0.392;0.000;0.583;0.604;0.564;0.000;0.628;0.477;0.561;0.000;0.000;0.470;0.432;0.497;0.404;0.485;0.000;0.589;0.575;0.603;0.596;0.634;0.596;
02.09.20;11:29:55;5;0;0.1041;0.1320;0.0073;0.0816;0.1056;0.0753;0.0024;0.0841;0.1207;0.1022;0.0020;0.0024;0.0948;0.1398;0.1422;0.1408;0.1271;0.0024;0.0709;0.0836;0.0968;0.1036;0.0699;0.0630;0.1921;0.2185;0.0073;0.1945;0.2674;0.1720;0.0049;0.2287;0.2278;0.2317;0.0039;0.0039;0.1794;0.2458;0.2796;0.2341;0.2473;0.0044;0.1730;0.1950;0.2444;0.2532;0.1916;0.1549;0.458;0.396;0.000;0.580;0.605;0.563;0.000;0.632;0.470;0.559;0.000;0.000;0.471;0.431;0.491;0.399;0.486;0.000;0.590;0.571;0.604;0.591;0.635;0.593;
02.09.20;11:30:56;6;0;0.1051;0.1334;0.0068;0.0806;0.1061;0.0753;0.0029;0.0850;0.1217;0.1031;0.0024;0.0024;0.0963;0.1413;0.1422;0.1427;0.1251;0.0024;0.0723;0.0855;0.0982;0.1046;0.0704;0.0635;0.1901;0.2175;0.0073;0.1921;0.2674;0.1745;0.0044;0.2292;0.2292;0.2297;0.0049;0.0044;0.1769;0.2478;0.2801;0.2370;0.2444;0.0049;0.1745;0.1955;0.2478;0.2610;0.1926;0.1525;0.447;0.387;0.000;0.580;0.603;0.569;0.000;0.629;0.469;0.551;0.000;0.000;0.456;0.430;0.492;0.398;0.488;0.000;0.585;0.563;0.604;0.599;0.635;0.583;
02.09.20;11:31:56;7;0;0.1046;0.1344;0.0078;0.0806;0.1070;0.0748;0.0024;0.0846;0.1207;0.1012;0.0024;0.0024;0.0958;0.1417;0.1413;0.1432;0.1246;0.0020;0.0714;0.0846;0.0997;0.1041;0.0694;0.0635;0.1911;0.2199;0.0073;0.1916;0.2693;0.1696;0.0044;0.2278;0.2263;0.2287;0.0039;0.0049;0.1818;0.2478;0.2761;0.2346;0.2414;0.0044;0.1720;0.1940;0.2473;0.2551;0.1882;0.1574;0.453;0.389;0.000;0.579;0.603;0.559;0.000;0.629;0.467;0.558;0.000;0.000;0.473;0.428;0.488;0.390;0.484;0.000;0.585;0.564;0.597;0.592;0.631;0.596;
02.09.20;11:32:57;8;0;0.1041;0.1344;0.0068;0.0802;0.1070;0.0733;0.0024;0.0846;0.1202;0.0992;0.0024;0.0024;0.0963;0.1417;0.1413;0.1437;0.1246;0.0020;0.0718;0.0846;0.0997;0.1036;0.0694;0.0640;0.1896;0.2190;0.0083;0.1916;0.2674;0.1691;0.0024;0.2302;0.2248;0.2248;0.0034;0.0034;0.1813;0.2449;0.2752;0.2361;0.2410;0.0044;0.1740;0.1931;0.2512;0.2532;0.1882;0.1564;0.451;0.386;0.000;0.582;0.600;0.566;0.000;0.633;0.465;0.559;0.000;0.000;0.469;0.421;0.487;0.391;0.483;0.000;0.587;0.562;0.603;0.591;0.631;0.591;
02.09.20;11:33:58;9;0;0.1036;0.1344;0.0073;0.0821;0.1075;0.0738;0.0024;0.0865;0.1217;0.1007;0.0024;0.0020;0.0978;0.1422;0.1413;0.1417;0.1246;0.0015;0.0723;0.0846;0.1007;0.1026;0.0684;0.0645;0.1877;0.2224;0.0083;0.1950;0.2708;0.1676;0.0044;0.2317;0.2258;0.2278;0.0044;0.0039;0.1828;0.2449;0.2781;0.2351;0.2390;0.0049;0.1755;0.1984;0.2488;0.2556;0.1867;0.1569;0.448;0.396;0.000;0.579;0.603;0.560;0.000;0.627;0.461;0.558;0.000;0.000;0.465;0.419;0.492;0.397;0.479;0.000;0.588;0.574;0.595;0.598;0.634;0.589;
02.09.20;11:34:59;10;0;0.1031;0.1359;0.0068;0.0826;0.1090;0.0748;0.0020;0.0875;0.1232;0.1017;0.0024;0.0020;0.0992;0.1427;0.1422;0.1437;0.1251;0.0015;0.0733;0.0865;0.1017;0.1041;0.0689;0.0650;0.1857;0.2204;0.0068;0.1931;0.2674;0.1691;0.0044;0.2326;0.2258;0.2283;0.0039;0.0039;0.1804;0.2444;0.2742;0.2361;0.2375;0.0039;0.1745;0.1960;0.2537;0.2556;0.1867;0.1574;0.445;0.384;0.000;0.572;0.592;0.558;0.000;0.624;0.455;0.555;0.000;0.000;0.450;0.416;0.481;0.391;0.473;0.000;0.580;0.559;0.599;0.593;0.631;0.587;
