Fragment_ID,day0,day1,day2,day3,day4,day5,day6,day7,"NOTE: Datasheet sorted by well ID after assignment, then sort back by Fragment ID"
057,6-B6,4-C1,2-B1,1-A5,3-D1,5-B6,1-D1,2-D6,
058,4-B1,6-C1,4-B4,1-A4,3-D2,5-B4,2-B2,5-A3,
059,6-C3,4-B6,6-C6,6-C2,2-D6,2-D6,2-A6,5-C4,
060,5-B4,6-D4,2-D1,3-D5,3-A2,2-C4,3-C1,5-D2,
061,4-B6,1-A6,2-C3,4-B3,5-B2,6-B3,1-D4,6-B5,
062,2-D2,5-C3,6-D6,3-B6,5-B4,3-B5,3-B1,4-A4,
063,2-C1,4-C4,1-D3,6-D3,4-D3,3-A6,2-A4,4-D4,
064,6-A2,2-C6,2-A6,4-C1,4-B3,2-C5,6-C5,1-D2,
065,6-B3,1-A2,6-D3,4-B2,5-C4,6-D5,5-A1,1-C6,
066,3-B2,5-A1,6-C3,5-C5,5-B3,4-C1,6-B4,2-C1,
067,5-B2,4-A4,4-C3,5-B4,4-B1,5-A1,3-B6,5-D4,
068,2-B6,3-B6,4-C5,4-D5,3-B2,6-C5,3-D2,5-B6,
069,5-C4,1-D3,1-B4,3-B5,3-D3,2-A1,4-D1,6-A5,
070,5-B5,2-D4,1-B2,3-B3,3-B4,6-D2,4-C4,4-B4,
071,4-A1,2-B1,1-B5,3-C6,2-A4,2-D2,1-B1,6-A6,
072,1-C6,6-C5,2-D4,3-C2,5-C3,3-D2,1-A3,6-D3,
073,1-C2,1-C6,2-A4,2-B6,5-D3,1-A4,5-A4,3-A3,
074,1-D3,5-C6,6-A1,3-D3,2-B6,6-C6,2-D2,2-B4,
075,6-A6,5-B5,6-B1,3-A6,6-B5,3-A1,5-A2,3-B6,
076,4-A5,6-D1,2-D3,5-A6,2-B2,4-B5,6-D1,4-C2,
077,6-C1,2-B2,3-A1,4-D6,2-C3,4-C6,2-B4,2-B3,
078,2-D4,1-D2,3-D5,6-C6,1-B3,2-D4,6-D6,3-C6,
079,2-B5,6-D5,3-B1,5-C2,1-A5,3-A2,3-B3,6-B2,
080,6-C4,3-D4,2-D6,4-A4,6-D4,3-B1,4-C1,1-C2,
081,4-C4,4-C5,4-D5,4-A5,5-B5,5-C3,3-A6,5-A2,
