Sample_ID,Plate_Well_ID ,Fragment_ID,Genotype,Treatment,Sampling_Time,Meas_Day
b,1-A1,-,Blank,-,-,D0
132,1-A2,132,PAN-35,Antibiotics,Day 7,D0
105,1-A3,105,PAN-79,Control,Day 7,D0
107,1-A4,107,PAN-79,Control,Day 7,D0
b,1-A5,-,Blank,-,-,D0
154,1-A6,154,Uraba-51,Antibiotics,Day 7,D0
119,1-B1,119,PAN-10,Antibiotics,Day 7,D0
b,1-B2,-,Blank,-,-,D0
158,1-B3,158,PAN-78,Antibiotics,Day 7,D0
114,1-B4,114,PAN-5,Antibiotics,Day 7,D0
156,1-B5,156,Uraba-51,Antibiotics,Day 7,D0
109,1-B6,109,PAN-83,Control,Day 7,D0
089,1-C1,089,PAN-43,Control,Day 7,D0
073,1-C2,073,PAN-35,Control,Day 7,D0
117,1-C3,117,PAN-10,Antibiotics,Day 7,D0
143,1-C4,143,PAN-41,Antibiotics,Day 7,D0
135,1-C5,135,PAN-37,Antibiotics,Day 7,D0
072,1-C6,072,PAN-34,Control,Day 7,D0
130,1-D1,130,PAN-35,Antibiotics,Day 7,D0
b,1-D2,-,Blank,-,-,D0
074,1-D3,074,PAN-35,Control,Day 7,D0
101,1-D4,101,PAN-78,Control,Day 7,D0
166,1-D5,166,PAN-83,Antibiotics,Day 7,D0
131,1-D6,131,PAN-35,Antibiotics,Day 7,D0
120,2-A1,120,PAN-10,Antibiotics,Day 7,D0
113,2-A2,113,PAN-5,Antibiotics,Day 7,D0
160,2-A3,160,PAN-78,Antibiotics,Day 7,D0
b,2-A4,-,Blank,-,-,D0
149,2-A5,149,PAN-44,Antibiotics,Day 7,D0
121,2-A6,121,PAN-32,Antibiotics,Day 7,D0
086,2-B1,086,PAN-41,Control,Day 7,D0
134,2-B2,134,PAN-37,Antibiotics,Day 7,D0
b,2-B3,-,Blank,-,-,D0
b,2-B4,-,Blank,-,-,D0
079,2-B5,079,PAN-37,Control,Day 7,D0
068,2-B6,068,PAN-32,Control,Day 7,D0
063,2-C1,063,PAN-10,Control,Day 7,D0
157,2-C2,157,PAN-78,Antibiotics,Day 7,D0
b,2-C3,-,Blank,-,-,D0
b,2-C4,-,Blank,-,-,D0
133,2-C5,133,PAN-37,Antibiotics,Day 7,D0
091,2-C6,091,PAN-43,Control,Day 7,D0
126,2-D1,126,PAN-34,Antibiotics,Day 7,D0
062,2-D2,062,PAN-10,Control,Day 7,D0
106,2-D3,106,PAN-79,Control,Day 7,D0
078,2-D4,078,PAN-37,Control,Day 7,D0
093,2-D5,093,PAN-44,Control,Day 7,D0
b,2-D6,-,Blank,-,-,D0
123,3-A1,123,PAN-32,Antibiotics,Day 7,D0
127,3-A2,127,PAN-34,Antibiotics,Day 7,D0
b,3-A3,-,Blank,-,-,D0
b,3-A4,-,Blank,-,-,D0
095,3-A5,095,PAN-44,Control,Day 7,D0
116,3-A6,116,PAN-5,Antibiotics,Day 7,D0
b,3-B1,-,Blank,-,-,D0
066,3-B2,066,PAN-32,Control,Day 7,D0
100,3-B3,100,Uraba-51,Control,Day 7,D0
137,3-B4,137,PAN-39,Antibiotics,Day 7,D0
b,3-B5,-,Blank,-,-,D0
138,3-B6,138,PAN-39,Antibiotics,Day 7,D0
104,3-C1,104,PAN-78,Control,Day 7,D0
082,3-C2,082,PAN-39,Control,Day 7,D0
161,3-C3,161,PAN-79,Antibiotics,Day 7,D0
112,3-C4,112,PAN-83,Control,Day 7,D0
094,3-C5,094,PAN-44,Control,Day 7,D0
115,3-C6,115,PAN-5,Antibiotics,Day 7,D0
b,3-D1,-,Blank,-,-,D0
085,3-D2,085,PAN-41,Control,Day 7,D0
b,3-D3,-,Blank,-,-,D0
162,3-D4,162,PAN-79,Antibiotics,Day 7,D0
097,3-D5,097,Uraba-51,Control,Day 7,D0
145,3-D6,145,PAN-43,Antibiotics,Day 7,D0
071,4-A1,071,PAN-34,Control,Day 7,D0
118,4-A2,118,PAN-10,Antibiotics,Day 7,D0
b,4-A3,-,Blank,-,-,D0
164,4-A4,164,PAN-79,Antibiotics,Day 7,D0
076,4-A5,076,PAN-35,Control,Day 7,D0
083,4-A6,083,PAN-39,Control,Day 7,D0
058,4-B1,058,PAN-5,Control,Day 7,D0
b,4-B2,-,Blank,-,-,D0
b,4-B3,-,Blank,-,-,D0
159,4-B4,159,PAN-78,Antibiotics,Day 7,D0
136,4-B5,136,PAN-37,Antibiotics,Day 7,D0
061,4-B6,061,PAN-10,Control,Day 7,D0
103,4-C1,103,PAN-78,Control,Day 7,D0
b,4-C2,-,Blank,-,-,D0
146,4-C3,146,PAN-43,Antibiotics,Day 7,D0
081,4-C4,081,PAN-39,Control,Day 7,D0
b,4-C5,-,Blank,-,-,D0
152,4-C6,152,PAN-44,Antibiotics,Day 7,D0
102,4-D1,102,PAN-78,Control,Day 7,D0
110,4-D2,110,PAN-83,Control,Day 7,D0
140,4-D3,140,PAN-39,Antibiotics,Day 7,D0
141,4-D4,141,PAN-41,Antibiotics,Day 7,D0
129,4-D5,129,PAN-35,Antibiotics,Day 7,D0
147,4-D6,147,PAN-43,Antibiotics,Day 7,D0
b,5-A1,-,Blank,-,-,D0
099,5-A2,099,Uraba-51,Control,Day 7,D0
167,5-A3,167,PAN-83,Antibiotics,Day 7,D0
098,5-A4,098,Uraba-51,Control,Day 7,D0
090,5-A5,090,PAN-43,Control,Day 7,D0
b,5-A6,-,Blank,-,-,D0
155,5-B1,155,Uraba-51,Antibiotics,Day 7,D0
067,5-B2,067,PAN-32,Control,Day 7,D0
b,5-B3,-,Blank,-,-,D0
060,5-B4,060,PAN-5,Control,Day 7,D0
070,5-B5,070,PAN-34,Control,Day 7,D0
124,5-B6,124,PAN-32,Antibiotics,Day 7,D0
b,5-C1,-,Blank,-,-,D0
108,5-C2,108,PAN-79,Control,Day 7,D0
b,5-C3,-,Blank,-,-,D0
069,5-C4,069,PAN-34,Control,Day 7,D0
122,5-C5,122,PAN-32,Antibiotics,Day 7,D0
087,5-C6,087,PAN-41,Control,Day 7,D0
151,5-D1,151,PAN-44,Antibiotics,Day 7,D0
b,5-D2,-,Blank,-,-,D0
165,5-D3,165,PAN-83,Antibiotics,Day 7,D0
096,5-D4,096,PAN-44,Control,Day 7,D0
084,5-D5,084,PAN-39,Control,Day 7,D0
142,5-D6,142,PAN-41,Antibiotics,Day 7,D0
088,6-A1,088,PAN-41,Control,Day 7,D0
064,6-A2,064,PAN-10,Control,Day 7,D0
153,6-A3,153,Uraba-51,Antibiotics,Day 7,D0
b,6-A4,-,Blank,-,-,D0
111,6-A5,111,PAN-83,Control,Day 7,D0
075,6-A6,075,PAN-35,Control,Day 7,D0
139,6-B1,139,PAN-39,Antibiotics,Day 7,D0
125,6-B2,125,PAN-34,Antibiotics,Day 7,D0
065,6-B3,065,PAN-32,Control,Day 7,D0
148,6-B4,148,PAN-43,Antibiotics,Day 7,D0
168,6-B5,168,PAN-83,Antibiotics,Day 7,D0
057,6-B6,057,PAN-5,Control,Day 7,D0
077,6-C1,077,PAN-37,Control,Day 7,D0
144,6-C2,144,PAN-41,Antibiotics,Day 7,D0
059,6-C3,059,PAN-5,Control,Day 7,D0
080,6-C4,080,PAN-37,Control,Day 7,D0
b,6-C5,-,Blank,-,-,D0
150,6-C6,150,PAN-44,Antibiotics,Day 7,D0
163,6-D1,163,PAN-79,Antibiotics,Day 7,D0
128,6-D2,128,PAN-34,Antibiotics,Day 7,D0
092,6-D3,092,PAN-43,Control,Day 7,D0
b,6-D4,-,Blank,-,-,D0
b,6-D5,-,Blank,-,-,D0
b,6-D6,-,Blank,-,-,D0
