Meas_Day,Sample_ID,Plate_Well_ID ,Fragment_ID
day6,057,1-D1,057
day6,058,2-B2,058
day6,059,2-A6,059
day6,060,3-C1,060
day6,061,1-D4,061
day6,062,3-B1,062
day6,063,2-A4,063
day6,064,6-C5,064
day6,065,5-A1,065
day6,066,6-B4,066
day6,067,3-B6,067
day6,068,3-D2,068
day6,069,4-D1,069
day6,070,4-C4,070
day6,071,1-B1,071
day6,072,1-A3,072
day6,073,5-A4,073
day6,074,2-D2,074
day6,075,5-A2,075
day6,076,6-D1,076
day6,077,2-B4,077
day6,078,6-D6,078
day6,079,3-B3,079
day6,080,4-C1,080
day6,081,3-A6,081
day6,082,6-D3,082
day6,083,1-C4,083
day6,084,5-D4,084
day6,085,1-D5,085
day6,086,1-D6,086
day6,087,3-D4,087
day6,088,5-D3,088
day6,089,4-B6,089
day6,090,5-B6,090
day6,091,5-C5,091
day6,092,3-A2,092
day6,093,2-D6,093
day6,094,4-B5,094
day6,095,3-C3,095
day6,096,3-B4,096
day6,097,4-B1,097
day6,098,1-B2,098
day6,099,6-A5,099
day6,100,4-D3,100
day6,101,4-C5,101
day6,102,5-C1,102
day6,103,4-A5,103
day6,104,4-A6,104
day6,105,2-B5,105
day6,106,4-A2,106
day6,107,1-A2,107
day6,108,4-B2,108
day6,109,4-A4,109
day6,110,2-D3,110
day6,111,1-B6,111
day6,112,5-C6,112
day6,113,6-B2,113
day6,114,5-A6,114
day6,115,6-C1,115
day6,116,2-C6,116
day6,117,4-C3,117
day6,118,2-C2,118
day6,119,6-C6,119
day6,120,5-D5,120
day6,121,3-D6,121
day6,122,3-A3,122
day6,123,5-C2,123
day6,124,6-A1,124
day6,125,3-A4,125
day6,126,6-A2,126
day6,127,6-C4,127
day6,128,6-A6,128
day6,129,3-D1,129
day6,130,3-C2,130
day6,131,5-D6,131
day6,132,5-B5,132
day6,133,1-C6,133
day6,134,3-B5,134
day6,135,5-B2,135
day6,136,1-A4,136
day6,137,1-B5,137
day6,138,6-B5,138
day6,139,5-B1,139
day6,140,2-D5,140
day6,141,6-A4,141
day6,142,1-C2,142
day6,143,1-B3,143
day6,144,1-A1,144
day6,145,5-D2,145
day6,146,2-D1,146
day6,147,4-C6,147
day6,148,5-A3,148
day6,149,6-B6,149
day6,150,2-A3,150
day6,151,1-A6,151
day6,152,6-C3,152
day6,153,3-A5,153
day6,154,4-D5,154
day6,155,6-D5,155
day6,156,5-B4,156
day6,157,4-C2,157
day6,158,2-C5,158
day6,159,2-A2,159
day6,160,5-A5,160
day6,161,6-D2,161
day6,162,6-B3,162
day6,163,5-C4,163
day6,164,1-A5,164
day6,165,2-C4,165
day6,166,3-D5,166
day6,167,1-B4,167
day6,168,1-D2,168
day6,b,4-B3,
day6,b,1-D3,
day6,b,4-D2,
day6,b,2-A5,
day6,b,4-A1,
day6,b,1-C3,
day6,b,2-B3,
day6,b,4-A3,
day6,b,2-C3,
day6,b,1-C1,
day6,b,5-D1,
day6,b,3-B2,
day6,b,5-B3,
day6,b,2-B6,
day6,b,2-C1,
day6,b,3-C4,
day6,b,4-D4,
day6,b,6-C2,
day6,b,1-C5,
day6,b,4-B4,
day6,b,2-D4,
day6,b,6-D4,
day6,b,6-B1,
day6,b,4-D6,
day6,b,3-D3,
day6,b,3-C6,
day6,b,5-C3,
day6,b,3-C5,
day6,b,6-A3,
day6,b,3-A1,
day6,b,2-B1,
day6,b,2-A1,
